run,tag,step,value,wall_time
exp_magnitude,loss_train,1,2.170025587081909,1772328594.6230094
exp_magnitude,loss_train,2,1.327164888381958,1772328693.0678751
exp_magnitude,loss_train,3,1.0581743717193604,1772328791.3038664
exp_magnitude,loss_train,4,0.9419335722923279,1772328889.5371416
exp_magnitude,loss_train,5,0.8606009483337402,1772328987.8381524
exp_magnitude,loss_train,6,0.793027937412262,1772329086.165201
exp_magnitude,loss_train,7,0.7243452668190002,1772329184.4533384
exp_magnitude,loss_train,8,0.7132540345191956,1772329282.8496008
exp_magnitude,loss_train,9,0.6773827075958252,1772329381.1565447
exp_magnitude,loss_train,10,0.6285330653190613,1772329479.449872
exp_magnitude,loss_train,11,0.6107370257377625,1772329577.7984555
exp_magnitude,loss_train,12,0.5839945673942566,1772329676.09973
exp_magnitude,loss_train,13,0.5634675025939941,1772329774.390878
exp_magnitude,loss_train,14,0.5493956804275513,1772329872.7232058
exp_magnitude,loss_train,15,0.5186320543289185,1772329971.0529997
exp_magnitude,loss_train,16,0.530448317527771,1772330069.3750107
exp_magnitude,loss_train,17,0.4827750325202942,1772330167.6394172
exp_magnitude,loss_train,18,0.4852196276187897,1772330265.8988595
exp_magnitude,loss_train,19,0.4543285667896271,1772330364.1759863
exp_magnitude,loss_train,20,0.44887301325798035,1772330462.4112272
exp_magnitude,loss_train,21,0.44662028551101685,1772330560.6745217
exp_magnitude,loss_train,22,0.43546104431152344,1772330658.8038187
exp_magnitude,loss_train,23,0.43780744075775146,1772330757.0798476
exp_magnitude,loss_train,24,0.4068886935710907,1772330855.2416325
exp_magnitude,loss_train,25,0.42314013838768005,1772330953.4937696
exp_magnitude,loss_train,26,0.4031139016151428,1772331051.774305
exp_magnitude,loss_train,27,0.38382431864738464,1772331150.0537047
exp_magnitude,loss_train,28,0.3767557442188263,1772331248.3801432
exp_magnitude,loss_train,29,0.3793560266494751,1772331346.7366786
exp_magnitude,loss_train,30,0.365163654088974,1772331445.0558255
exp_magnitude,loss_train,31,0.3563184440135956,1772331543.2720726
exp_magnitude,loss_train,32,0.34899529814720154,1772331641.5182629
exp_magnitude,loss_train,33,0.3474057912826538,1772331739.7783086
